Name,IPA,SAMPA,GAM,Sphinx2,Afrikaans,Afrikaans-Dutch,ARPAbet,UNISYN,CMUbet-MONC,CMUbet,CGN-Dutch,AMI-v0,HIWIRE,Isizulu,SD_ENESITSFSZ,MEDIAPARL,SA_EN,SD_EN,SD_ES,SD_IT,SD_IT_wo@,LEXIQUE3.80,FESTIVAL_FR,BDLEX50,BDLEX50_noN,SD_SF,FESTIVAL_DE,GP_RU,GP_UA,GP_PO,GP_SP,GP_FR,GP_GE,KALDI_DE,PHONOLEX_EXT,PHONOLEX,PHONOLEX_DE,PHONOLEX_GP,PHONOLEX_MP,SD_SZ,SD_NO,SD_FI,SD_EL,SD_SV,VS_DE,question count,Vowel,Consonant,Voiced_Consonant,Unvoiced_Consonant,Aspirated_Consonant,Ejective_Consonant,Click_Consonant,Pulmonic_Consonant,Voiced_Pulmonic_Consonant,Unvoiced_Pulmonic_Consonant,Syllabic_Consonant,Plosive,Implosive,Voiced_Plosive,Unvoiced_Plosive,Bilabial_Plosive,Coronal_Plosive,Velar_Plosive,Alveolar_Plosive,Fricative,Voiced_Fricative,Unvoiced_Fricative,Labiodental_Fricative,Coronal_Fricative,Dental_Plosive,Dental_Fricative,Dental_Trill,Alveolar_Fricative,Dental_Affricat,Alveolar_Trill,Lateral_Fricative,Postalveolar_Fricative,Dental_Click,Alveolar_Lateral_Click,Palatal_Click,Approximant,Labiodental_Approximant,Pulmonic_Approximant,Nasal,Pulmonic_Nasal,Syllabic_Nasal,Affricates,Alveolar_Africate,Lateral,Voiced_lateral,Labial,Voiced_Labial,Unvoiced_Labial,Bilabial,Voiced_Bilabial,Unvoiced_Bilabial,Pulmonic_Bilabial,Pulmonic_Voiced_Bilabial,Coronal,General_Voiced_Coronal,General_Unvoiced_Coronal,Pulmonic_Coronal,Voiced_Coronal,Unvoiced_Coronal,Dorsal,Voiced_Dorsal,Dorsal_Velar,Labialized_velar_approximant,Palatalized,Semi_Palatalized,Fortis_Consonant,Lenis_Consonant,General_Front_Vowel,Front_Vowel,Front_Vowel_Rhoticity,Front_close_vowel,Front_close_mid_vowel,Front_open_mid_vowel,Front_near_open_vowel,Front_open_vowel,Front_nearfront_Vowel,Front_central_vowel,Front_nearback_Vowel,General_Nearfront_Vowel,Nearfront_Vowel,Nearfront_Vowel_Rhoticity,Nearfront_central_vowel,General_Central_Vowel,Central_Vowel_Rhoticity,Central_Vowel,Central_close_vowel,Central_Mid_Vowel,Central_Openmid_Vowel,Central_Nearopen_Vowel,General_Nearback_Vowel,Nearback_Vowel_Rhoticity,Nearback_Vowel,Nearback_central_vowel,General_Back_Vowel,Back_Vowel_Rhoticity,Back_Vowel,Back_Open_Vowel,Back_OpenMid_Vowel,Back_Closemid_Vowel,Back_Close_Vowel,Long_Vowel,Long_Back_Vowel,Long_Central_Vowel,Long_Front_Vowel,Long_Close_Vowel,Long_Closemid_Vowel,Long_OpenMid_Vowel,Long_Open_Vowel,Close_Vowel,NearClose_Vowel,CloseMid_Vowel,OpenMid_Vowel,Open_Vowel,OpenMid_NearClose_Vowel,Open_NearClose_Vowel,Open_NearClose_Mid_Vowel,NearClose_Mid_Vowel,Dipthong,Rounded,Unrounded,Unround-Schwa
,dd,dd,,,,,,,,,,,,,dd,,,,,dd,dd,,,,,,,,,,,,,,,,,,,,,dd,,,,11,,1,1,,,,,1,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dj,d_j,,,,,,,,,,,,,,,,,,,,,,,,,,dj,dj,dj,,,,,,,,,,,,,,,,13,,1,1,,,,,1,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d̪,d_d,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,13,,1,1,,,,,1,1,,,1,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,7,,1,,1,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ɟ,gj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gj,,,7,,1,1,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,k,k,k,k,k,k,k,k,K,K,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,K,k,k,k,k,k,k,k,k,k,k,k,k,k,10,,1,,1,,,,1,,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kJ,k_J,,,,,,,,,,,,,,,,,,,,,,,,,,,kj,,,,,,,,,,,,,,,,,11,,1,,1,,,,1,,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kh,k_h,,,,,,,,,,,,k_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kɬ,kK_>,,,,,,,,,,,,kK_>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kk,kk,,,,,,,,,,,,,kk,,,,,kk,kk,,,,,,,,,,,,,,,,,,,,,kk,,,,10,,1,,1,,,,1,,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,g,g,g,g,g,g,g,g,,G,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,G,g,g,g,g,g,g,g,g,g,g,g,g,g,11,,1,1,,,,,1,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gg,gg,,,,,,,,,,,,,gg,,,,,gg,gg,,,,,,,,,,,,,,,,,,,,,gg,,,,11,,1,1,,,,,1,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʔ,?,,,,,,,,,,,,,?,Q,,,,,,,,,,,GS,hrd,,,,,,,Q,Q,Q,Q,Q,?,,,,,,6,,1,,1,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fricative,β,B,,,,,,,,,,,,,B,,,,B,,,,,,,,,,,,V,,,,,,,,,,,,,,,10,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f,f,f,f,f,f,f,f,F,F,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,F,f,f,f,f,f,f,f,f,f,f,f,f,f,10,,1,,1,,,,1,,1,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f,f_J,,,,,,,,,,,,,,,,,,,,,,,,,,,fj,,,,,,,,,,,,,,,,,11,,1,,1,,,,1,,1,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ff,ff,,,,,,,,,,,,,ff,,,,,ff,ff,,,,,,,,,,,,,,,,,,,,,ff,,,,10,,1,,1,,,,1,,1,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,v,v,v,v,v,v,v,v,V,V,v,v,v,v,v,v,v,v,,v,v,v,v,v,v,v,v,v,,v,,V,v,v,v,v,v,v,v,v,v,v,v,v,w,10,,1,1,,,,,1,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,vj,v_j,,,,,,,,,,,,,,,,,,,,,,,,,,vj,,,,,,,,,,,,,,,,,,11,,1,1,,,,,1,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,vv,vv,,,,,,,,,,,,,vv,,,,,vv,vv,,,,,,,,,,,,,,,,,,,,,,,,,10,,1,1,,,,,1,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,θ,T,th,th,,,th,th,TH,TH,,th,th,,T,,T,T,T,,,,,,,,,,,,T,,,,,,,,,,,,T,,,13,,1,,1,,,,1,,1,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ð,D,dh,dh,,,dh,dh,,DH,,dh,dh,,D,,D,D,D,,,,,,,,,,,,D,,,,,,,,,,,,D,,,13,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s,s,s,s,s,s,s,s,S,S,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,,s,s,S,s,s,s,s,s,s,s,s,s,s,s,s,s,13,,1,,1,,,,1,,1,,,,,,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sj,s_j,,,,,,,,,,,,,,,,,,,,,,,,,,sj,sj,,,,,,,,,,,,,,,,,14,,1,,1,,,,1,,1,,,,,,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, s̪,s_d,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,14,,1,,1,,,,1,,1,,,,,,,,,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ss,ss,,,,,,,,,,,,,ss,,,,,ss,ss,,,,,,,,,,,,,,,,,,,,,ss,,,,13,,1,,1,,,,1,,1,,,,,,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,z,z,z,z,z,z,z,z,Z,Z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,,z,z,Z,z,z,z,z,z,z,z,z,,,z,,z,13,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,z̪,????,,,,,,,,,,,,,,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,14,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zj,z_j,,,,,,,,,,,,,,,,,,,,,,,,,,zj,zj,,,,,,,,,,,,,,,,,15,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʃ,S,sh,sh,S,S,sh,sh,,SH,S,sh,sh,S,S,S,S,S,,S,S,S,S,S,S,S,S,S,sh,sch,,SH,S,S,S,S,S,S,S,S,S,,,S,sch,13,,1,,1,,,,1,,1,,,,,,,,,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʃj,S_j,,,,,,,,,,,,,,,,,,,,,,,,,,Sj,shj,,,,,,,,,,,,,,,,,14,,1,,1,,,,1,,1,,,,,,,,,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʃʃ,SS,,,,,,,,,,,,,SS,,,,,SS,SS,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,,1,,,,1,,1,,,,,,,,,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʃtʃ,s\,,,,,,,,,,,,,,,,,,,,,,,,,,StS,,,,,,,,,,,,,,,,,,5,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʃtʃj,s\_j,,,,,,,,,,,,,,,,,,,,,,,,,,StSj,,,,,,,,,,,,,,,,,,6,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʒ,Z,zh,zh,Z,Z,zh,zh,,ZH,Z,zh,,,Z,Z,Z,Z,,,,Z,Z,Z,Z,Z,Z,Z,zh,,,ZH,,,Z,Z,Z,Z,Z,Z,,,,,,13,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʒJ,Z_J,,,,,,,,,,,,,,,,,,,,,,,,,,Zj,zhj,,,,,,,,,,,,,,,,,14,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ç,C,,,,,,,,,,,,,C,C,,,,,,,,,,,C,,,,,,C,C,C,C,C,C,C,C,C,,C,C,,8,,1,,1,,,,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,x,x,,,x,x,,,,,x,,,,x,x,,,x,,,x,X,,,,ch,x,x,,x,,x,x,x,x,x,x,x,x,,,x,,ch,8,,1,,1,,,,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,xJ,x_J,,,,,,,,,,,,,,,,,,,,,,,,,,,xj,,,,,,,,,,,,,,,,,9,,1,,1,,,,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ɣ,G,,,,,,,,,G,,,,G,,,,G,,,,,,,,,,,,G,,,,,,,,,,,,G,,,9,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʁ,R,,,,,,,,,,,,,R,R,,,,,,R,R,R,R,R,,,,rr,,R,,,,,,R,R,R,,,,,,7,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ɥ,H,,,,,,,,,,,,,H,H,,,,,,H,H,H,H,H,,,,,,H,,,,,,,,,,,,,,9,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h,h,h,hh,,,hh,hh,HH,HH,h,hh,hh,h,h,h,,h,,,,,,,,,h,,,,,h,h,h,h,h,h,h,h,h,h,h,,h,h,6,,1,,1,,,,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ɦ,h\,,,h\,h\,,,,,,,,h\,,,h\,,,,,,,,,,,,h,,,,,,,,,,,,,,,,,6,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ɦJ,h\_j,,,,,,,,,,,,,,,,,,,,,,,,,,,hj,,,,,,,,,,,,,,,,,7,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hh,hh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hh,,,,6,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approximant,ɹ,r\,r,r,r,r,r,r,R,R,r,r,r,r,r,r,r,r,r,r,r,,,,,r,r,,,,,,r,r,r,r,r,r,r,,r,r,r,r,r,10,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rr,rr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rr,,,,10,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,j,y,y,j,j,y,y,,Y,j,y,y,,j,j,j,j,j,j,j,j,j,j,j,j,j,j,j,,j,J,j,j,j,j,j,j,j,j,j,j,j,j,j,8,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʝ,jj,,,,,,,,,,,,j,jj,,,,jj,,,,,,,,,,,,,,,,,,,,,,,,jj,,,8,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʋ,v\,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,w,,,,,,,,,,,,,,,5,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʋJ,v\_j,,,,,,,,,,,,,,,,,,,,,,,,,,,wj,,,,,,,,,,,,,,,,,6,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trill,rr,rr,,,,,,,,,,,,,rr,,,,rr,rr,rr,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,r,r,r,r,,,,,,,,,,,,,,,6,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rj,r_j,,,,,,,,,,,,,,,,,,,,,,,,,,rj,rj,,,,,,,,,,,,,,,,,7,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tap,ɾ,4,t^,dx,,,dx,,,,,,,,,,,,,,,,,,,,,,,,rf,,,,,,,,,,,,,,,8,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lat. Approx.,l,l,l,l,l,l,l,l,L,L,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,,l,l,L,l,l,l,l,l,l,l,l,l,l,l,l,l,10,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lj,l_j,,,,,,,,,,,,,,,,,,,,,,,,,,lj,lj,,,,,,,,,,,,,,,,,11,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ll,ll,,,,,,,,,,,,,ll,,,,,ll,ll,,,,,,,,,,,,,,,,,,,,,ll,,,,10,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l̩,l=,l!,,,,el,el,,,,el,,,,,,,,,,,,,,,,,l,w,,,,,,,,,,,,,,,,10,,1,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,l=~,,,,,,,,,,,,,,,,,,,,,,,,,,,,w~,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ɬ,K,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,1,,1,,,,1,,1,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ɮ,K\,,,,,,,,,,,,K\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,,,,,1,1,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
